input,retrieval_context,additional_metadata,comments
"I'm looking for a 3 bedrooms apartment in fultonseaport with a budget up to $4900, that has washer_dryer.","[""4877673"", ""4888279"", ""4873038"", ""4891233""]","{""spec_key"": ""auto_fultonseaport_3br_4900"", ""max_rent"": 4900, ""min_beds"": 3, ""listing_ids"": [""4877673"", ""4888279"", ""4873038"", ""4891233""]}",
"I'm looking for a 3 bedrooms apartment in tribeca for around $4200 a month, that has doorman.","[""4888279""]","{""spec_key"": ""auto_tribeca_3br_4200"", ""max_rent"": 4200, ""min_beds"": 3, ""listing_ids"": [""4888279""]}",
"I'm looking for a 3 bedrooms apartment in hudson-yards with a budget up to $7900, that has laundry.","[""4888279"", ""4878523"", ""4892775"", ""4890714"", ""4870744""]","{""spec_key"": ""auto_hudson-yards_3br_7900"", ""max_rent"": 7900, ""min_beds"": 3, ""listing_ids"": [""4888279"", ""4878523"", ""4892775"", ""4890714"", ""4870744""]}",
"I'm looking for a 1 bedroom apartment in hamilton-heights with a budget up to $3200, that has laundry.","[""4744739"", ""4885857"", ""4888305"", ""4841420"", ""4889188""]","{""spec_key"": ""auto_hamilton-heights_1br_3200"", ""max_rent"": 3200, ""min_beds"": 1, ""listing_ids"": [""4744739"", ""4885857"", ""4888305"", ""4841420"", ""4889188""]}",
I'm looking for a 1 bedroom apartment in fultonseaport with a budget up to $3400.,"[""4871609"", ""4841420"", ""4889188"", ""4891043"", ""4873081""]","{""spec_key"": ""auto_fultonseaport_1br_3400"", ""max_rent"": 3400, ""min_beds"": 1, ""listing_ids"": [""4871609"", ""4841420"", ""4889188"", ""4891043"", ""4873081""]}",
"I'm looking for a 1 bedroom apartment in lincoln-square for around $5400 a month, that has roofdeck.","[""4872815"", ""4835210"", ""4882952"", ""4851358"", ""4851173""]","{""spec_key"": ""auto_lincoln-square_1br_5400"", ""max_rent"": 5400, ""min_beds"": 1, ""listing_ids"": [""4872815"", ""4835210"", ""4882952"", ""4851358"", ""4851173""]}",
"I'm looking for a 1 bedroom apartment in upper-west-side for around $6400 a month, that has bike_room.","[""4872815"", ""4880065"", ""4835314"", ""4835210"", ""4882952""]","{""spec_key"": ""auto_upper-west-side_1br_6400"", ""max_rent"": 6400, ""min_beds"": 1, ""listing_ids"": [""4872815"", ""4880065"", ""4835314"", ""4835210"", ""4882952""]}",
"I'm looking for a 3 bedrooms apartment in central-harlem with a budget up to $4900, that has city_view.","[""4888274"", ""4833859"", ""4888279"", ""4873038"", ""4892775""]","{""spec_key"": ""auto_central-harlem_3br_4900"", ""max_rent"": 4900, ""min_beds"": 3, ""listing_ids"": [""4888274"", ""4833859"", ""4888279"", ""4873038"", ""4892775""]}",
"I'm looking for a 1 bedroom apartment in hudson-yards for around $4600 a month, that has package_room, dishwasher.","[""4835314"", ""4853227"", ""4861555"", ""4835210"", ""4882952""]","{""spec_key"": ""auto_hudson-yards_1br_4600"", ""max_rent"": 4600, ""min_beds"": 1, ""listing_ids"": [""4835314"", ""4853227"", ""4861555"", ""4835210"", ""4882952""]}",
I'm looking for a 3 bedrooms apartment in yorkville with a budget up to $3900.,"[""4888274"", ""4833859"", ""4877673""]","{""spec_key"": ""auto_yorkville_3br_3900"", ""max_rent"": 3900, ""min_beds"": 3, ""listing_ids"": [""4888274"", ""4833859"", ""4877673""]}",
